DB.Class.Key,Symbol.x,Symbol.y
49391449,Bmpr1b,BMPR1B
49391450,Paf1,PAF1
49391451,Lmx1b,LMX1B
49391452,Alox12,ALOX12
49391453,Alox15,ALOX15
49391455,Alox8,ALOX15B
49391456,Alox12b,ALOX12B
49391457,Aloxe3,ALOXE3
49391458,Alox5,ALOX5
49391459,Pdlim3,PDLIM3
49391460,Alpl,ALPL
49391461,Gbgt1,GBGT1
49391462,Col1a1,COL1A1
49391463,Col1a2,COL1A2
49391464,Sptan1,SPTAN1
49391465,H2-Ea,HLA-DRA
49391466,H2-Aa,HLA-DQA1
49391467,Chn1,CHN1
49391468,Napa,NAPA
49391469,Akp3,ALPP
49391470,Alpi,ALPI
49391471,Alppl2,ALPG
49391472,Gfer,GFER
49391473,Als2,ALS2
49391474,Tmem237,TMEM237
49391475,Carf,CARF
49391476,Vsx2,VSX2
49391477,Alx4,ALX4
49391478,Vwa2,VWA2
49391479,Ambp,AMBP
49391480,Amfr,AMFR
49391481,Myh6,MYH6
49391482,Runx1,RUNX1
49391483,Amotl2,AMOTL2
49391484,Ampd2,AMPD2
49391485,Ampd3,AMPD3
49391486,Prkaa1,PRKAA1
49391487,Prkaa2,PRKAA2
49391488,Dcaf7,DCAF7
49391489,Wdhd1,WDHD1
49391490,Hesx1,HESX1
49391491,Nppa,NPPA
49391492,Sapcd2,SAPCD2
49391493,Angpt1,ANGPT1
49391494,Vps51,VPS51
49391495,Angpt2,ANGPT2
49391496,Angptl1,ANGPTL1
49391497,Angptl2,ANGPTL2
49391498,Ank1,ANK1
49391499,Ank2,ANK2
49391500,Ank3,ANK3
49391501,Ankfn1,ANKFN1
49391502,Ank,ANKH
49391503,Ankib1,ANKIB1
49391504,Ankmy2,ANKMY2
49391505,Ankrd10,ANKRD10
49391506,Ankrd13a,ANKRD13A
49391507,Kank1,KANK1
49391508,Ankrd26,ANKRD26
49391509,Ankrd28,ANKRD28
49391510,Ankrd33,ANKRD33
49391511,Ankrd33b,ANKRD33B
49391512,Sowaha,SOWAHA
49391513,Ankrd46,ANKRD46
49391514,Ankrd52,ANKRD52
49391515,Sowahd,SOWAHD
49391516,Ankef1,ANKEF1
49391517,Ankrd6,ANKRD6
49391518,Nusap1,NUSAP1
49391519,Ano1,ANO1
49391520,Ano10,ANO10
49391521,Ano2,ANO2
49391522,Anpep,ANPEP
49391523,Serpinc1,SERPINC1
49391524,Lefty2,LEFTY2
49391525,Lefty1,LEFTY1
49391526,Antxr1,ANTXR1
49391527,Zfand4,ZFAND4
49391528,Anxa5,ANXA5
49391529,Anxa3,ANXA3
49391530,Kdm1a,KDM1A
49391531,Aox2,AOX2P
49391533,Aox3,AOX3P
49391534,Aox1,AOX1
49391535,Tfap2a,TFAP2A
49391536,Tfap2b,TFAP2B
49391537,Ap2m1,AP2M1
49391538,Ap3b1,AP3B1
49391539,Ap4b1,AP4B1
49391540,Apba1,APBA1
49391541,Apba2,APBA2
49391542,Apbb2,APBB2
49391543,Speg,SPEG
49391544,Atg3,ATG3
49391545,Atg4b,ATG4B
49391546,Atg4c,ATG4C
49391547,Atg5,ATG5
49391548,Api5,API5
49391549,Cenps,CENPS
49391550,Prkci,PRKCI
49391551,Aplp1,APLP1
49391552,Apobec2,APOBEC2
49391553,Apoa1,APOA1
49391554,Apoa4,APOA4
49391555,Apob,APOB
49391556,Apod,APOD
49391557,Apoe,APOE
49391558,Lrp8,LRP8
49391559,Apoo,APOO
49391560,Coa8,COA8
49391561,Pycard,PYCARD
49391562,App,APP
49391563,Nae1,NAE1
49391564,Tnfsf13,TNFSF13
49391565,Mip,MIP
49391566,Aqp11,AQP11
49391567,Aqp1,AQP1
49391568,Aqp3,AQP3
49391569,Aqp8,AQP8
49391570,Aqp9,AQP9
49391571,Cyp19a1,CYP19A1
49391572,Ar,AR
49391573,Rnf14,RNF14
49391574,Slc25a12,SLC25A12
49391575,Rplp0,RPLP0
49391576,Arcn1,ARCN1
49391577,Naa11,NAA11
49391578,Naa10,NAA10
49391579,Arf1,ARF1
49391580,Arf2,ARF2P
49391581,Arf3,ARF3
49391582,Arf6,ARF6
49391583,Pparg,PPARG
49391584,Avp,AVP
49391585,Arglu1,ARGLU1
49391586,Sorbs2,SORBS2
49391587,Rhoa,RHOA
49391588,Rnd3,RND3
49391589,Arhgap12,ARHGAP12
