Metabolite_set,Metabolite
D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE,Azelaic acid
D10AX Other anti-acne preparations for topical use,Azelaic acid
D10AX03 Azelaic acid,Azelaic acid
D03034  Azelaic acid (USAN/INN) &lt;US&gt;,Azelaic acid
USP drug classification [BR:br08302(D03034)],Azelaic acid
Dermatological Agents,Azelaic acid
Acne and Rosacea Agents,Azelaic acid
"Acne and Rosacea Agents, Other",Azelaic acid
Azelaic Acid,Azelaic acid
D03034  Azelaic acid (USAN/INN),Azelaic acid
C16308  (2E)-Dodec-2-enedioic acid,Traumatic acid
Phenylpropanoids,Burseran
Lignans,Burseran
Lignans,Burseran
C10547  Burseran,Burseran
ST04 Bile acids and derivatives,Sulfolithocholylglycine
ST04 Bile acids and derivatives,Ursodeoxycholic acid
"ST0402 C26 bile acids, alcohols, and derivatives",Sulfolithocholylglycine
C11301  Sulfolithocholylglycine,Sulfolithocholylglycine
ST0503 Glycine conjugates,Sulfolithocholylglycine
C11301  Sulfoglycolithocholate,Sulfolithocholylglycine
C00249  Palmitic acid (16:0),Palmitic acid
C00249  Hexadecanoic acid,Palmitic acid
C00249  Palmitic acid,Palmitic acid
Unsaturated fatty acids,Docosahexaenoic acid
Unsaturated fatty acids,Palmitoleic acid
Unsaturated fatty acids,Palmitoleic acid
Unsaturated fatty acids,Eicosenoic acid
Unsaturated fatty acids,Icosadienoic acid
"C06429  Docosahexaenoic acid (22:6;4,7,10,13,16,19)",Docosahexaenoic acid
FA0103 Unsaturated fatty acids,Docosahexaenoic acid
FA0103 Unsaturated fatty acids,Palmitoleic acid
FA0103 Unsaturated fatty acids,Eicosenoic acid
FA0103 Unsaturated fatty acids,Adrenic acid
FA0103 Unsaturated fatty acids,Icosadienoic acid
Polyunsaturated fatty acids,Docosahexaenoic acid
Polyunsaturated fatty acids,Adrenic acid
Polyunsaturated fatty acids,Icosadienoic acid
"C06429  (4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid",Docosahexaenoic acid
FA04 Docosanoids,Docosahexaenoic acid
FA04 Docosanoids,Adrenic acid
FA0400 Other Docosanoids,Docosahexaenoic acid
FA0400 Other Docosanoids,Adrenic acid
"C06429  (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid",Docosahexaenoic acid
C01530  Stearic acid (18:0),Stearic acid
C01530  Octadecanoic acid,Stearic acid
C01530  Stearic acid,Stearic acid
Risk category of Japanese OTC drugs [BR:br08312(D00119)],Stearic acid
Stearic acid,Stearic acid
D00119  Stearic acid (JP18/NF),Stearic acid
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00119)],Stearic acid
D00119  Stearic acid,Stearic acid
C08362  Palmitoleic acid (16:1;9),Palmitoleic acid
Monounsaturated fatty acids,Palmitoleic acid
Monounsaturated fatty acids,Eicosenoic acid
C08362  (Z)-Hexadec-9-enoic acid,Palmitoleic acid
C08362  Palmitoleic acid,Palmitoleic acid
C00262  Hypoxanthine,Hypoxanthine
Terpenoids,Phytuberin
Terpenoids,Centarol
Terpenoids,2-Deoxycastasterone
Terpenoids,Sapelin A
Terpenoids,Caryoptin
Terpenoids,Rishitin
Terpenoids,Pisiferic acid
Terpenoids,Castasterone
Terpenoids,Gratiogenin
Terpenoids,Barringtogenol C
Terpenoids,alpha-Irone
Terpenoids,Hymenoxon
Terpenoids,Monotropein
Terpenoids,Quassin
Sesquiterpenoids (C15),Phytuberin
Sesquiterpenoids (C15),Centarol
Sesquiterpenoids (C15),Rishitin
Sesquiterpenoids (C15),alpha-Irone
Sesquiterpenoids (C15),Hymenoxon
C09709  Phytuberin,Phytuberin
L-Alanine,Alanine
C01401  Alanine,Alanine
C02804  5-Hydroxypentanoic acid,5-Hydroxypentanoic acid
PR  Prenol lipids,Retinyl ester
PR  Prenol lipids,Botrydial
PR  Prenol lipids,Latia luciferin
PR  Prenol lipids,Monotropein
PR01 Isoprenoids,Retinyl ester
PR01 Isoprenoids,Botrydial
PR01 Isoprenoids,Latia luciferin
PR01 Isoprenoids,Monotropein
PR0109 Retinoids,Retinyl ester
C02075  Retinyl ester,Retinyl ester
C00188  Threonine (Thr),Threonine
Risk category of Japanese OTC drugs [BR:br08312(D00041)],Threonine
L-Threonine,Threonine
D00041  Threonine (USP),Threonine
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00041)],Threonine
D00041  L-Threonine,Threonine
C00334  gamma-Aminobutyric acid,gamma-Aminobutyric acid
Amines,gamma-Aminobutyric acid
Amines,beta-Alanine
Amines,Dopamine
Biogenic amines,gamma-Aminobutyric acid
Biogenic amines,beta-Alanine
Biogenic amines,Dopamine
Biogenic amines,Dopamine
C00334  gamma-Aminobutyric acid (GABA),gamma-Aminobutyric acid
C00334  GABA,gamma-Aminobutyric acid
C00334  4-Aminobutanoic acid,gamma-Aminobutyric acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00058)],gamma-Aminobutyric acid
N03 ANTIEPILEPTICS,gamma-Aminobutyric acid
N03A ANTIEPILEPTICS,gamma-Aminobutyric acid
N03AG Fatty acid derivatives,gamma-Aminobutyric acid
N03AG03 Aminobutyric acid,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid (JAN) &lt;JP&gt;,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid (JAN) &lt;JP&gt;,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid (JAN) &lt;JP&gt;,gamma-Aminobutyric acid
Therapeutic category of drugs in Japan [BR:br08301(D00058)],gamma-Aminobutyric acid
219  Miscellaneous,gamma-Aminobutyric acid
219  Miscellaneous,Mannitol
2190  Miscellaneous,gamma-Aminobutyric acid
2190  Miscellaneous,Mannitol
D00058  gamma-Aminobutyric acid (JAN),gamma-Aminobutyric acid
Drug groups [BR:br08330(D00058)],gamma-Aminobutyric acid
DG01567  GABA-A receptor agonist,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid,gamma-Aminobutyric acid
D00058  gamma-Aminobutyric acid,gamma-Aminobutyric acid
DG01565  GABA-B receptor agonist,gamma-Aminobutyric acid
DG03199  Antiepileptic agent,gamma-Aminobutyric acid
DG03199  Antiepileptic agent,gamma-Aminobutyric acid
DG02037  GABA mimetic antiepileptic,gamma-Aminobutyric acid
Drug classes [BR:br08332(D00058)],gamma-Aminobutyric acid
Target-based classification of drugs [BR:br08310(D00058)],gamma-Aminobutyric acid
Metabotropic glutamate receptor family,gamma-Aminobutyric acid
GABA (metabotropic),gamma-Aminobutyric acid
GABBR,gamma-Aminobutyric acid
Ion channels,gamma-Aminobutyric acid
Ligand-gated ion channels,gamma-Aminobutyric acid
GABA (ionotropic),gamma-Aminobutyric acid
GABR,gamma-Aminobutyric acid
ST0502 Sulfates,Cholesterol sulfate
C18043  Cholesterol sulfate,Cholesterol sulfate
C00073  Methionine (Met),Methionine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00019)],Methionine
V03AB26 Methionine,Methionine
D00019  Methionine (USP),Methionine
D00019  Methionine (USP),Methionine
Risk category of Japanese OTC drugs [BR:br08312(D00019)],Methionine
Methionine,Methionine
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00019)],Methionine
D00019  L-Methionine,Methionine
C06424  Myristic acid (14:0),Myristic acid
C06424  Tetradecanoic acid,Myristic acid
C06424  Myristic acid,Myristic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303],Fructose
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303],Phosphocreatine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303],Cidofovir
V06DC02 Fructose,Fructose
C01496  Fructose,Fructose
C00989  4-Hydroxybutanoate,4-Hydroxybutyric acid
C00989  4-Hydroxybutanoic acid,4-Hydroxybutyric acid
C00989  4-Hydroxybutanoic acid,4-Hydroxybutyric acid
Drug groups [BR:br08330],4-Hydroxybutyric acid
Drug groups [BR:br08330],Cidofovir
DG02030  Anesthetics,4-Hydroxybutyric acid
DG02027  General anesthetics,4-Hydroxybutyric acid
DG00798  Hydroxybutyric acid,4-Hydroxybutyric acid
Narcotics and psychotropics in Japan [br08308.html],4-Hydroxybutyric acid
Narcotics by Cabinet Order Article 1 (163 substances),4-Hydroxybutyric acid
C00989,4-Hydroxybutyric acid
C10127  Anibine,Anibine
SP  Sphingolipids,Sphingosine 1-phosphate
SP  Sphingolipids,Sphinganine 1-phosphate
SP01 Sphingoid bases,Sphingosine 1-phosphate
SP01 Sphingoid bases,Sphinganine 1-phosphate
SP0105 Sphingoid base 1-phosphates,Sphingosine 1-phosphate
SP0105 Sphingoid base 1-phosphates,Sphinganine 1-phosphate
C06124  Sphingosine 1-phosphate,Sphingosine 1-phosphate
C16526  Icosenoic acid (20:1;11),Eicosenoic acid
C16526  (Z)-Icos-11-enoic acid,Eicosenoic acid
FA07 Fatty esters,Palmitoylcarnitine
FA07 Fatty esters,Octanoylcarnitine
FA0707 Fatty acyl carnitines,Palmitoylcarnitine
FA0707 Fatty acyl carnitines,Octanoylcarnitine
C02990  L-Palmitoylcarnitine,Palmitoylcarnitine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D07523)],Betaine
A16AA06 Betaine,Betaine
D07523  Betaine (JAN) &lt;JP/US&gt;,Betaine
USP drug classification [BR:br08302(D07523)],Betaine
"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",Betaine
Betaine,Betaine
Betaine,Betaine
D07523  Betaine (JAN),Betaine
D07523  Betaine (JAN),Betaine
D07523  Betaine (JAN),Betaine
Therapeutic category of drugs in Japan [BR:br08301(D07523)],Betaine
Risk category of Japanese OTC drugs [BR:br08312(D07523)],Betaine
New drug approvals in Europe [br08329.html(D07523)],Betaine
D07523,Betaine
D07523,Betaine
D07523,Betaine
New drug approvals in Japan [br08318.html(D07523)],Betaine
"New drug approvals in the USA, Europe and Japan [br08328.html(D07523)]",Betaine
C09632  Centarol,Centarol
C02679  Lauric acid (12:0),Dodecanoic acid
C02679  Dodecanoic acid,Dodecanoic acid
C02679  Lauric acid,Dodecanoic acid
3-Oxocarboxylic acids,Acetoacetic acid
C00164  Acetoacetate; 3-Oxobutanoate,Acetoacetic acid
FA0106 Oxo fatty acids,Acetoacetic acid
FA0106 Oxo fatty acids,Pyruvic acid
FA0106 Oxo fatty acids,3-Oxododecanoic acid
FA0106 Oxo fatty acids,8-Amino-7-oxononanoate
FA0106 Oxo fatty acids,5-Amino-2-oxopentanoic acid
C00164  3-Oxobutanoic acid,Acetoacetic acid
Deoxy sugars,Rhamnose
C00507  L-Rhamnose,Rhamnose
C00507,Rhamnose
C00392  Mannitol,Mannitol
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00062)],Mannitol
A06AD Osmotically acting laxatives,Mannitol
A06AD16 Mannitol,Mannitol
D00062  Mannitol (USP) &lt;JP/US&gt;,Mannitol
D00062  Mannitol (USP) &lt;JP/US&gt;,Mannitol
D00062  Mannitol (USP) &lt;JP/US&gt;,Mannitol
D00062  Mannitol (USP) &lt;JP/US&gt;,Mannitol
D00062  Mannitol (USP) &lt;JP/US&gt;,Mannitol
B05B I.V. SOLUTIONS,Mannitol
B05BC Solutions producing osmotic diuresis,Mannitol
B05BC01 Mannitol,Mannitol
B05CX04 Mannitol,Mannitol
R05CB16 Mannitol,Mannitol
V04CX Other diagnostic agents,Mannitol
V04CX04 Mannitol,Mannitol
USP drug classification [BR:br08302(D00062)],Mannitol
Cystic Fibrosis Agents,Mannitol
"Cystic Fibrosis Agents, Other",Mannitol
Mannitol,Mannitol
D00062  Mannitol (USP),Mannitol
Therapeutic category of drugs in Japan [BR:br08301(D00062)],Mannitol
D00062  Mannitol (USP); D-Mannitol (JP18),Mannitol
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00062)],Mannitol
D00062  D-Mannitol,Mannitol
D00062  D-Mannitol injection,Mannitol
New drug approvals in Europe [br08329.html(D00062)],Mannitol
D00062,Mannitol
C00099  beta-Alanine,beta-Alanine
C00099  beta-Alanine,beta-Alanine
C02838  L-Octanoylcarnitine,Octanoylcarnitine
ST01 Sterols,2-Deoxycastasterone
ST01 Sterols,6-Deoxocastasterone
ST01 Sterols,Castasterone
ST01 Sterols,6alpha-Hydroxycastasterone
ST0103 Ergosterols and C24-methyl derivatives,2-Deoxycastasterone
ST0103 Ergosterols and C24-methyl derivatives,6-Deoxocastasterone
ST0103 Ergosterols and C24-methyl derivatives,Castasterone
ST0103 Ergosterols and C24-methyl derivatives,6alpha-Hydroxycastasterone
C15793  Typhasterol,2-Deoxycastasterone
C15793  Typhasterol,2-Deoxycastasterone
Steroids,2-Deoxycastasterone
Steroids,Ursodeoxycholic acid
Steroids,Castasterone
Ergostane,2-Deoxycastasterone
Ergostane,Castasterone
C00417  cis-Aconitate,cis-Aconitic acid
C00051  Glutathione,Glutathione
C00051  Glutathione,Glutathione
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00014)],Glutathione
V03AB32 Glutathione,Glutathione
D00014  Glutathione (JP18) &lt;JP&gt;,Glutathione
Therapeutic category of drugs in Japan [BR:br08301(D00014)],Glutathione
3922  Glutathiones,Glutathione
D00014  Glutathione (JP18),Glutathione
9676  Other amino acid and preparations,Glutathione
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00014)],Glutathione
D00014  Glutathione,Glutathione
Triterpenoids (C30),Sapelin A
Triterpenoids (C30),Gratiogenin
Triterpenoids (C30),Barringtogenol C
Triterpenoids (C30),Quassin
C08634  Sapelin A,Sapelin A
C00022  Pyruvate; 2-Oxopropanoate,Pyruvic acid
C00022  2-Oxopropanoic acid,Pyruvic acid
C01120  Sphinganine 1-phosphate,Sphinganine 1-phosphate
24-Carbon atoms,Ursodeoxycholic acid
Cholane derivatives,Ursodeoxycholic acid
C07880  Ursodiol,Ursodeoxycholic acid
"ST0401 C24 bile acids, alcohols, and derivatives",Ursodeoxycholic acid
C07880  Ursodeoxycholic acid,Ursodeoxycholic acid
C07880  Ursodeoxycholic acid,Ursodeoxycholic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00734)],Ursodeoxycholic acid
A05 BILE AND LIVER THERAPY,Ursodeoxycholic acid
A05A BILE THERAPY,Ursodeoxycholic acid
A05AA Bile acids and derivatives,Ursodeoxycholic acid
A05AA02 Ursodeoxycholic acid,Ursodeoxycholic acid
D00734  Ursodiol (USP) &lt;JP/US&gt;,Ursodeoxycholic acid
D00734  Ursodiol (USP) &lt;JP/US&gt;,Ursodeoxycholic acid
USP drug classification [BR:br08302(D00734)],Ursodeoxycholic acid
Gastrointestinal Agents,Ursodeoxycholic acid
"Gastrointestinal Agents, Other",Ursodeoxycholic acid
Ursodiol,Ursodeoxycholic acid
D00734  Ursodiol (USP),Ursodeoxycholic acid
D00734  Ursodiol (USP),Ursodeoxycholic acid
D00734  Ursodiol (USP),Ursodeoxycholic acid
D00734  Ursodiol (USP),Ursodeoxycholic acid
D00734  Ursodiol (USP),Ursodeoxycholic acid
Therapeutic category of drugs in Japan [BR:br08301(D00734)],Ursodeoxycholic acid
236  Cholagogues,Ursodeoxycholic acid
2362  Bile acids,Ursodeoxycholic acid
D00734  Ursodiol (USP); Ursodeoxycholic acid (JP18/INN),Ursodeoxycholic acid
Classification of Japanese OTC drugs [BR:br08313(D00734)],Ursodeoxycholic acid
11 Stomachics,Ursodeoxycholic acid
13 Digestives,Ursodeoxycholic acid
"14 Two or more combinations from antacids, stomachics, digestives, and intestinal regulators",Ursodeoxycholic acid
Risk category of Japanese OTC drugs [BR:br08312(D00734)],Ursodeoxycholic acid
Ursodeoxycholic acid,Ursodeoxycholic acid
935  Cholagogues,Ursodeoxycholic acid
"9351  Bile acid, derivatives preparations",Ursodeoxycholic acid
Drug groups [BR:br08330(D00734)],Ursodeoxycholic acid
DG01956  Bile acid preparation,Ursodeoxycholic acid
D00734  Ursodiol,Ursodeoxycholic acid
Target-based classification of drugs [BR:br08310(D00734)],Ursodeoxycholic acid
Nuclear receptors,Ursodeoxycholic acid
Thyroid hormone like receptors,Ursodeoxycholic acid
Liver X receptor like receptor,Ursodeoxycholic acid
NR1H4 (FXR),Ursodeoxycholic acid
Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00734)],Ursodeoxycholic acid
D00734  Ursodeoxycholic acid,Ursodeoxycholic acid
D00734  Ursodeoxycholic acid tablets,Ursodeoxycholic acid
D00734  Ursodeoxycholic acid granules,Ursodeoxycholic acid
Diterpenoids (C20),Caryoptin
Diterpenoids (C20),Pisiferic acid
Clerodanes,Caryoptin
C09070  Caryoptin,Caryoptin
C02341  trans-Aconitate,trans-Aconitic acid
Amino sugars,N-Acetylneuraminic acid
Amino sugars,N-Acetyl-D-fucosamine
Amino sugars,Muramic acid
Amino sugars,N-Acetylmuramate
Amino sugars,N-Acetyl-D-glucosamine
C00270  N-Acetylneuraminic acid,N-Acetylneuraminic acid
C00270,N-Acetylneuraminic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D11016)],N-Acetylneuraminic acid
M MUSCULO-SKELETAL SYSTEM,N-Acetylneuraminic acid
M MUSCULO-SKELETAL SYSTEM,Penicillamine
M09 OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,N-Acetylneuraminic acid
M09A OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,N-Acetylneuraminic acid
M09AX Other drugs for disorders of the musculo-skeletal system,N-Acetylneuraminic acid
M09AX05 Aceneuramic acid,N-Acetylneuraminic acid
D11016  Aceneuramic acid (JAN/USAN) &lt;JP&gt;,N-Acetylneuraminic acid
Therapeutic category of drugs in Japan [BR:br08301(D11016)],N-Acetylneuraminic acid
19  Other agents affecting nervous system and sensory organs,N-Acetylneuraminic acid
190  Other agents affecting nervous system and sensory organs,N-Acetylneuraminic acid
1900  Other agents affecting nervous system and sensory organs,N-Acetylneuraminic acid
D11016  Aceneuramic acid (JAN/USAN),N-Acetylneuraminic acid
Drug groups [BR:br08330(D11016)],N-Acetylneuraminic acid
Unclassified,N-Acetylneuraminic acid
DG03304  NPL substrate,N-Acetylneuraminic acid
DG02580  Aceneuramic acid,N-Acetylneuraminic acid
D11016  Aceneuramic acid,N-Acetylneuraminic acid
New drug approvals in Japan [br08318.html(D11016)],N-Acetylneuraminic acid
D11016,N-Acetylneuraminic acid
D11016,N-Acetylneuraminic acid
D11016,N-Acetylneuraminic acid
"New drug approvals in the USA, Europe and Japan [br08328.html(D11016)]",N-Acetylneuraminic acid
Drug metabolizing enzymes and transporters [br08309.html(D11016)],N-Acetylneuraminic acid
Drug metabolizing enzymes,N-Acetylneuraminic acid
Drug metabolizing enzymes,Dopamine
C00191  D-Glucuronic acid,Glucuronic acid
Sodium glucuronate hydrate,Glucuronic acid
C00191  D-Glucuronate,Glucuronic acid
C00191,Glucuronic acid
C02367  3-Oxododecanoic acid,3-Oxododecanoic acid
C15802  6-Deoxocastasterone,6-Deoxocastasterone
C00490  Itaconic acid,Itaconic acid
C09715  Rishitin,Rishitin
C01092  8-Amino-7-oxononanoic acid,8-Amino-7-oxononanoate
C00029  UDP-glucose,UDP-glucose
C00029,UDP-glucose
PR0103 C15 isoprenoids (sesquiterpenes),Botrydial
PR0103 C15 isoprenoids (sesquiterpenes),Latia luciferin
PR010364 Botrydial sesquiterpenoids,Botrydial
C09622  Botrydial,Botrydial
C09163  Pisiferic acid,Pisiferic acid
C15794  Castasterone,Castasterone
C15794  Castasterone,Castasterone
Secondary metabolites in pathway maps [br08011.html],Castasterone
Secondary metabolites in pathway maps [br08011.html],Slaframine
Biosynthetic pathways and modules of secondary metabolites,Castasterone
Biosynthetic pathways and modules of secondary metabolites,Slaframine
C15794,Castasterone
C10144  Fagomine,Fagomine
C08808  Gratiogenin,Gratiogenin
C08808  Gratiogenin,Gratiogenin
O-glycosides,Gratiogenin
O-glycosides,Lotaustralin
O-glycosides,Linamarin
O-glycosides,Monotropein
O-glycosides,Gynocardin
O-glycosides,Cardiospermin
Saponins,Gratiogenin
Triterpenoid,Gratiogenin
C01796  D-Erythrose,Erythrose
"C16527  (7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid",Adrenic acid
"C16527  (7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid",Adrenic acid
C15480  N-Acetyl-D-fucosamine,N-Acetyl-D-fucosamine
C15480,N-Acetyl-D-fucosamine
"C16525  Icosadienoic acid (20:2;11,14)",Icosadienoic acid
"C16525  (11Z,14Z)-Icosa-11,14-dienoic acid",Icosadienoic acid
C08277  Decanedioic acid,Sebacic acid
C00246  Butyrate; Butanoate,Butyric acid
C00246  Butyric acid (4:0),Butyric acid
C00246  Butanoic acid,Butyric acid
C00246  Butyric acid,Butyric acid
"C02220  (2E,4Z)-2-Aminohexa-2,4-dienedioic acid",2-Aminomuconic acid
C06470  Muramic acid,Muramic acid
Amino acid related compounds,Lotaustralin
Amino acid related compounds,Linamarin
Amino acid related compounds,Gynocardin
Amino acid related compounds,Cardiospermin
Cyanogenic glucosides,Lotaustralin
Cyanogenic glucosides,Linamarin
Cyanogenic glucosides,Gynocardin
Cyanogenic glucosides,Cardiospermin
Cyanogenic glucosides derived from valine or isoleucine,Lotaustralin
Cyanogenic glucosides derived from valine or isoleucine,Linamarin
C08334  Lotaustralin,Lotaustralin
C08334  Lotaustralin,Lotaustralin
Cyanogenic glycosides,Lotaustralin
Cyanogenic glycosides,Linamarin
Cyanogenic glycosides,Gynocardin
Cyanogenic glycosides,Cardiospermin
Indolizidine alkaloids,Slaframine
C06185  Slaframine,Slaframine
C06185,Slaframine
C00137  myo-Inositol,myo-Inositol
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D08079)],myo-Inositol
A11HA07 Inositol,myo-Inositol
D08079  Inositol (NF),myo-Inositol
D08079  Inositol (NF),myo-Inositol
Risk category of Japanese OTC drugs [BR:br08312(D08079)],myo-Inositol
Inositol,myo-Inositol
C05841  Nicotinate D-ribonucleoside,Nicotinate D-ribonucleoside
Alkaloids derived from ornithine,Homostachydrine
Alkaloids derived from ornithine,Retronecine
Alkaloids derived from ornithine,Otonecine
Alkaloids derived from ornithine,Heliotridine
Pyrrolidine alkaloids,Homostachydrine
C08283  Homostachydrine,Homostachydrine
C06425  Arachidic acid (20:0),Arachidic acid
C06425  Icosanoic acid,Arachidic acid
C06425  Arachidic acid,Arachidic acid
PR010305 Cyclofarnesane sesquiterpenoids,Latia luciferin
C02293  Latia luciferin,Latia luciferin
C15803  6alpha-Hydroxycastasterone,6alpha-Hydroxycastasterone
C03665  2-Aminoisobutyric acid,2-Aminoisobutyric acid
C17715  Undecanoic acid,Undecanoic acid
C01879  Pidolic acid,Pyroglutamic acid
C02123  3-Propylmalic acid,3-Propylmalate
Oleananes,Barringtogenol C
C08931  Barringtogenol C,Barringtogenol C
C09690  alpha-Irone,alpha-Irone
C01732  Mesaconic acid,Mesaconic acid
C01594  Linamarin,Linamarin
C01594  Linamarin,Linamarin
FA0102 Branched fatty acids,Tuberculostearic acid
C16794  10-Methyloctadecanoic acid,Tuberculostearic acid
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00496)],Penicillamine
M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,Penicillamine
M01C SPECIFIC ANTIRHEUMATIC AGENTS,Penicillamine
M01CC Penicillamine and similar agents,Penicillamine
M01CC01 Penicillamine,Penicillamine
D00496  Penicillamine (JAN/USP/INN) &lt;JP/US&gt;,Penicillamine
USP drug classification [BR:br08302(D00496)],Penicillamine
Electrolyte/Mineral/Metal Modifiers,Penicillamine
Penicillamine,Penicillamine
Penicillamine,Penicillamine
D00496  Penicillamine (JAN/USP/INN),Penicillamine
D00496  Penicillamine (JAN/USP/INN),Penicillamine
D00496  Penicillamine (JAN/USP/INN),Penicillamine
D00496  Penicillamine (JAN/USP/INN),Penicillamine
Genitourinary Agents,Penicillamine
"Genitourinary Agents, Other",Penicillamine
Therapeutic category of drugs in Japan [BR:br08301(D00496)],Penicillamine
44  Allergic agents,Penicillamine
443  Nonspecific immunogen preparations,Penicillamine
4430  Nonspecific immunogen preparations,Penicillamine
Drug groups [BR:br08330(D00496)],Penicillamine
Anti-inflammatory,Penicillamine
DG01985  Disease modifying anti-rheumatic drug (DMARD),Penicillamine
DG01985  Disease modifying anti-rheumatic drug (DMARD),Penicillamine
DG00763  Penicillamine,Penicillamine
DG00763  Penicillamine,Penicillamine
D00496  Penicillamine,Penicillamine
D00496  Penicillamine,Penicillamine
D00496  Penicillamine,Penicillamine
Vitamin and mineral,Penicillamine
DG01692  Chelator,Penicillamine
Drug classes [BR:br08332(D00496)],Penicillamine
Antirheumatic agent,Penicillamine
Pseudoguaianolide,Hymenoxon
C09482  Hymenoxon,Hymenoxon
C01933  (S)-2-Aminohexanoic acid,Norleucine
Oligosaccharides,Xylobiose
Disaccharides,Xylobiose
C01630  Xylobiose,Xylobiose
PR0102 C10 isoprenoids (monoterpenes),Monotropein
"PR010207 Iridoid, 10-alkyliridoid and secoiridoid monoterpenoids",Monotropein
C09788  Monotropein,Monotropein
C09788  Monotropein,Monotropein
C09788  Monotropein,Monotropein
Monoterpenoids (C10),Monotropein
Iridoids,Monotropein
Iridoid glycosides,Monotropein
Pyrrolizidine alkaloids,Retronecine
Pyrrolizidine alkaloids,Retronecine
Pyrrolizidine alkaloids,Otonecine
Pyrrolizidine alkaloids,Heliotridine
C06177  Retronecine,Retronecine
C06177  Retronecine,Retronecine
Natural toxins [BR:br08009],Retronecine
Phytotoxins,Retronecine
C02713  N-Acetylmuramic acid,N-Acetylmuramate
C02713,N-Acetylmuramate
Dammarenes,Quassin
C08776  Nigakilactone J,Quassin
Pesticides [BR:br08007],Bendiocarb
Pesticides [BR:br08007],Indole-3-acetate
Pesticides,Bendiocarb
Pesticides,Indole-3-acetate
Insecticides,Bendiocarb
Carbamate insecticides,Bendiocarb
C14433  Bendiocarb,Bendiocarb
Alkaloids derived from tryptophan and anthranilic acid,Indole-3-acetate
Indole alkaloids,Indole-3-acetate
C00954  Indole-3-acetate,Indole-3-acetate
C00954  Indole-3-acetate,Indole-3-acetate
Plant growth regulators,Indole-3-acetate
Auxins,Indole-3-acetate
C03758  Dopamine,Dopamine
C03758  Dopamine,Dopamine
C03758  Dopamine,Dopamine
C03758  Dopamine,Dopamine
Other hormones,Dopamine
Dopamine,Dopamine
Dopamine,Dopamine
Dopamine,Dopa
Alkaloids derived from tyrosine,Dopamine
Tyramine derivatives,Dopamine
Prodrugs [br08324.html],Dopamine
Prodrugs [br08324.html],Dopa
C03758,Dopamine
Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D07870)],Dopamine
C01C CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Dopamine
C01CA Adrenergic and dopaminergic agents,Dopamine
C01CA04 Dopamine,Dopamine
D07870  Dopamine (INN),Dopamine
D07870  Dopamine (INN),Dopamine
Drug groups [BR:br08330(D07870)],Dopamine
Cardiovascular agent,Dopamine
DG01703  Cardiotonic,Dopamine
DG01699  Catecholamine cardiotonic,Dopamine
DG00213  Dopamine,Dopamine
DG00213  Dopamine,Dopamine
DG00213  Dopamine,Dopamine
DG00213  Dopamine,Dopamine
DG00213  Dopamine,Dopamine
D07870  Dopamine,Dopamine
D07870  Dopamine,Dopamine
D07870  Dopamine,Dopamine
D07870  Dopamine,Dopamine
D07870  Dopamine,Dopamine
DG01472  Dopamine agonist,Dopamine
DG01472  Dopamine agonist,Dopa
Metabolizing enzyme substrate,Dopamine
DG01592  COMT substrate,Dopamine
